,date,sitename,value,fips
17030,2020-04-14,Cornwall,0.0,09005
17031,2020-04-14,New Haven - Criscuolo Park,0.0,09009
17032,2020-04-14,LUMS 2,0.0,10003
17033,2020-04-14,Rte 9 Del. City,0.0,10003
17034,2020-04-14,BELLFNT2,0.0,10003
17035,2020-04-14,MLK,0.0,10003
17036,2020-04-14,McMillan NCORE,1.0,11001
17037,2020-04-14,NCORE,0.0,12011
17038,2020-04-14,Crystal River Preserve,0.0,12017
17039,2020-04-14,Kooker Park,0.0,12031
17040,2020-04-14,Cedar Bay,0.0,12031
17041,2020-04-14,EAST BAY,0.0,12057
17042,2020-04-14,APOLLO BEACH,0.0,12057
17043,2020-04-14,DAVIS ISLAND,0.0,12057
17044,2020-04-14,Port Manatee,0.0,12081
17045,2020-04-14,FBHWWTP,1.0,12089
17046,2020-04-14,Winter Park,0.0,12095
17047,2020-04-14,Sikes Elementary School,0.0,12105
17048,2020-04-14,Macon Forestry,0.0,13021
17049,2020-04-14,Savannah East President,0.0,13051
17050,2020-04-14,Savannah L&A,1.0,13051
17051,2020-04-14,South DeKalb,0.0,13089
17052,2020-04-14,Rome-Kraftsman,0.0,13115
17053,2020-04-14,United Ave,0.0,13121
17054,2020-04-14,Augusta,0.0,13245
17055,2020-04-14,Hawaii Volcanoes NP - Visitor's Center,0.0,15001
17056,2020-04-14,Hilo,2.0,15001
17057,2020-04-14,Kona,1.0,15001
17058,2020-04-14,Ocean View,1.0,15001
17059,2020-04-14,Mountain View,0.0,15001
17060,2020-04-14,Kapolei,0.0,15003
17061,2020-04-14,Honolulu,0.0,15003
17062,2020-04-14,St. Lukes Meridian,0.0,16001
17063,2020-04-14,Pocatello STP,7.0,16005
17064,2020-04-14,Soda Springs SO2,2.0,16029
17065,2020-04-14,Bondville,0.0,17019
17066,2020-04-14,New Albany,1.0,18043
17067,2020-04-14,Gary-IITRI,0.0,18089
17068,2020-04-14,Hammond-141st St,1.0,18089
17069,2020-04-14,Indpls-Harding St,0.0,18097
17070,2020-04-14,Indpls-Washington Park,0.0,18097
17071,2020-04-14,Evansville-Buena Vista,0.0,18163
17072,2020-04-14,Terre Haute-Lafayette Ave,1.0,18167
17073,2020-04-14,"Clinton, Chancy Park",0.0,19045
17074,2020-04-14,PUBLIC HEALTH,0.0,19113
17075,2020-04-14,TAIT CUMMINS,0.0,19113
17076,2020-04-14,"Muscatine, Greenwood",0.0,19139
17077,2020-04-14,"Muscatine, High School East Campus",0.0,19139
17078,2020-04-14,"Muscatine, Musser Park",0.0,19139
17079,2020-04-14,"Davenport, 10th & Vine",0.0,19163
17080,2020-04-14,Lake Sugema,0.0,19177
17081,2020-04-14,Chanute,0.0,20133
17082,2020-04-14,PECK,0.0,20191
17083,2020-04-14,Cedar Bluff,0.0,20195
17084,2020-04-14,WY/KC,0.0,20209
17085,2020-04-14,WATSON,0.0,21111
17086,2020-04-14,Cannons Lane,0.0,21111
17087,2020-04-14,Firearms Training,0.0,21111
17088,2020-04-14,Chalmette Vista,0.0,22087
17089,2020-04-14,MICMAC,0.0,23003
17090,2020-04-14,Portland - Deering Oaks,0.0,23005
17091,2020-04-14,Moran,0.0,24001
17092,2020-04-14,Horse Rock,1.0,24001
17093,2020-04-14,Riviera Beach,0.0,24003
17094,2020-04-14,Essex,0.0,24005
17095,2020-04-14,Horn Point,0.0,24019
17096,2020-04-14,Piney Run,0.0,24023
17097,2020-04-14,HU-Beltsville,0.0,24033
17098,2020-04-14,Fall River,0.0,25005
17099,2020-04-14,SPRINGFIELDSP,0.0,25013
17100,2020-04-14,BOSTON-KENMORE,0.0,25025
17101,2020-04-14,Boston - Roxbury,0.0,25025
17102,2020-04-14,Worcester,0.0,25027
17103,2020-04-14,LANSING FILLEY ST,1.0,26065
17104,2020-04-14,GRAND RAPIDS,0.0,26081
17105,2020-04-14,MONROE STERLING ST PK,0.0,26115
17106,2020-04-14,WEST OLIVE,0.0,26139
17107,2020-04-14,PORT HURON,0.0,26147
17108,2020-04-14,ALLEN PARK,0.0,26163
17109,2020-04-14,DETROIT - SOUTHWEST ,0.0,26163
17110,2020-04-14,NMH48217,0.0,26163
17111,2020-04-14,DET POLICE 4TH,0.0,26163
17112,2020-04-14,TRINITY ST MARKS,0.0,26163
17113,2020-04-14,MILITARY PARK,0.0,26163
17114,2020-04-14,Blaine,0.0,27003
17115,2020-04-14,Minneapolis-Downtown,1.0,27053
17116,2020-04-14,Jackson NCORE,0.0,28049
17117,2020-04-14,PASCAGOULA,0.0,28059
17118,2020-04-14,Buick NE,0.0,29093
17119,2020-04-14,Troost,0.0,29095
17120,2020-04-14,"Herculaneum, Mott Street",0.0,29099
17121,2020-04-14,MTSP,1.0,29137
17122,2020-04-14,Rider Trail I-70,0.0,29189
17123,2020-04-14,BLAIR STREET,0.0,29510
17124,2020-04-14,Billings Coburn Rd,0.0,30111
17125,2020-04-14,NCORE,0.0,31055
17126,2020-04-14,16th and Whitmore,0.0,31055
17127,2020-04-14,Sheldon Station,0.0,31109
17128,2020-04-14,Jerome Mack,0.0,32003
17129,2020-04-14,Miller State Park,0.0,33011
