,county,state,population,full_county
726,Hancock,IN,78168,"Hancock, IN"
727,Harrison,IN,40515,"Harrison, IN"
728,Hendricks,IN,170311,"Hendricks, IN"
729,Henry,IN,47972,"Henry, IN"
730,Howard,IN,82544,"Howard, IN"
731,Huntington,IN,36520,"Huntington, IN"
732,Jackson,IN,44231,"Jackson, IN"
733,Jasper,IN,33562,"Jasper, IN"
734,Jay,IN,20436,"Jay, IN"
735,Jefferson,IN,32308,"Jefferson, IN"
736,Jennings,IN,27735,"Jennings, IN"
737,Johnson,IN,158167,"Johnson, IN"
738,Knox,IN,36594,"Knox, IN"
739,Kosciusko,IN,79456,"Kosciusko, IN"
740,LaGrange,IN,39614,"LaGrange, IN"
741,Lake,IN,485493,"Lake, IN"
742,LaPorte,IN,109888,"LaPorte, IN"
743,Lawrence,IN,45370,"Lawrence, IN"
744,Madison,IN,129569,"Madison, IN"
745,Marion,IN,964582,"Marion, IN"
746,Marshall,IN,46258,"Marshall, IN"
747,Martin,IN,10255,"Martin, IN"
748,Miami,IN,35516,"Miami, IN"
749,Monroe,IN,148431,"Monroe, IN"
750,Montgomery,IN,38338,"Montgomery, IN"
751,Morgan,IN,70489,"Morgan, IN"
752,Newton,IN,13984,"Newton, IN"
753,Noble,IN,47744,"Noble, IN"
754,OH,IN,5875,"OH, IN"
755,Orange,IN,19646,"Orange, IN"
756,Owen,IN,20799,"Owen, IN"
757,Parke,IN,16937,"Parke, IN"
758,Perry,IN,19169,"Perry, IN"
759,Pike,IN,12389,"Pike, IN"
760,Porter,IN,170389,"Porter, IN"
761,Posey,IN,25427,"Posey, IN"
762,Pulaski,IN,12353,"Pulaski, IN"
763,Putnam,IN,37576,"Putnam, IN"
764,Randolph,IN,24665,"Randolph, IN"
765,Ripley,IN,28324,"Ripley, IN"
766,Rush,IN,16581,"Rush, IN"
767,St. Joseph,IN,271826,"St. Joseph, IN"
768,Scott,IN,23873,"Scott, IN"
769,Shelby,IN,44729,"Shelby, IN"
770,Spencer,IN,20277,"Spencer, IN"
771,Starke,IN,22995,"Starke, IN"
772,Steuben,IN,34594,"Steuben, IN"
773,Sullivan,IN,20669,"Sullivan, IN"
