,date,sitename,value,aqi_value,aqi_category,fips
327,2020-02-02,Fort Bragg High School,11.0,10,0,06045
328,2020-02-02,Mammoth Lakes,16.0,16,0,06051
329,2020-02-02,Lee Vining,6.0,6,0,06051
330,2020-02-02,Mono Shore,270.0,158,3,06051
331,2020-02-02,King City AMS,8.0,8,0,06053
332,2020-02-02,Anaheim,22.0,21,0,06059
333,2020-02-02,Roseville - N.Sunrise/Douglas,14.0,14,0,06061
334,2020-02-02,Indio - Jackson Street,20.0,19,0,06065
335,2020-02-02,Saul Martinez,19.0,19,0,06065
336,2020-02-02,Palm Springs - Fire Station,17.0,17,0,06065
337,2020-02-02,Riverside - Rubidoux,26.0,25,0,06065
338,2020-02-02,Mira Loma - Van Buren,41.0,39,0,06065
339,2020-02-02,Lake Elsinore - W. Flint Street,12.0,12,0,06065
340,2020-02-02,Downtown Sacramento - T Street,15.0,15,0,06067
341,2020-02-02,Hollister AMS,15.0,14,0,06069
342,2020-02-02,Barstow,63.0,55,1,06071
343,2020-02-02,Lucerne Valley,74.0,61,1,06071
344,2020-02-02,Upland,18.0,18,0,06071
345,2020-02-02,Trona - Athol and Telegraph,108.0,78,1,06071
346,2020-02-02,Hesperia - Olive Street,46.0,43,0,06071
347,2020-02-02,San Bernadino - 4th Street,28.0,27,0,06071
348,2020-02-02,TracyAP,9.0,9,0,06077
349,2020-02-02,Paso Robles - Santa Fe Ave,14.0,13,0,06079
350,2020-02-02,Mesa 2 /Nipomo,68.0,58,1,06079
351,2020-02-02,San Luis Obispo - Higuera St,14.0,14,0,06079
352,2020-02-02,Nipomo Mesa CDF,62.0,54,1,06079
353,2020-02-02,Nipomo RP,16.0,16,0,06079
354,2020-02-02,Atascadero2,10.0,10,0,06079
355,2020-02-02,Santa Maria - Broadway,37.0,34,0,06083
356,2020-02-02,Las Flores Canyon,10.0,10,0,06083
357,2020-02-02,Lompoc H Street,23.0,21,0,06083
358,2020-02-02,Goleta,15.0,14,0,06083
359,2020-02-02,Modesto - 14th Street,21.0,19,0,06099
360,2020-02-02,Yuba City,18.0,18,0,06101
361,2020-02-02,Visalia - N. Church Street,29.0,28,0,06107
362,2020-02-02,Simi Valley - Cochran Street,15.0,15,0,06111
363,2020-02-02,El Rio - Rio Mesa School #2,17.0,16,0,06111
364,2020-02-02,Welby - 78th Ave. & Steele St.,15.0,14,0,08001
365,2020-02-02,Denver - CAMP - 2105 Broadway,6.0,6,0,08031
366,2020-02-02,La Casa NCORE - 4545 Navajo St.,11.0,11,0,08031
367,2020-02-02,Ute 3,8.0,7,0,08067
368,2020-02-02,Ft. Collins - CSU Facilities,2.0,3,0,08069
369,2020-02-02,Danbury,17.0,17,0,09001
370,2020-02-02,Hartford-Huntley,18.0,17,0,09003
371,2020-02-02,East Hartford,18.0,17,0,09003
372,2020-02-02,Cornwall,12.0,12,0,09005
373,2020-02-02,New Haven - Criscuolo Park,16.0,16,0,09009
374,2020-02-02,Groton Fort Griswold,15.0,15,0,09011
375,2020-02-02,McMillan NCORE,13.0,13,0,11001
376,2020-02-02,Melbourne,9.0,9,0,12009
377,2020-02-02,Kooker Park,9.0,8,0,12031
378,2020-02-02,Mandarin,9.0,8,0,12031
379,2020-02-02,GARDINIER,13.0,13,0,12057
380,2020-02-02,DAVIS ISLAND,9.0,8,0,12057
381,2020-02-02,Winkler Pump Station,11.0,10,0,12071
382,2020-02-02,Fl. Baptist Children's Home,8.0,8,0,12105
383,2020-02-02,Palatka,7.0,7,0,12107
384,2020-02-02,Paw Park,10.0,9,0,12115
385,2020-02-02,Seminole Community College (AG COMP),7.0,7,0,12117
386,2020-02-02,Macon Forestry,8.0,7,0,13021
387,2020-02-02,Savannah L&A,9.0,8,0,13051
388,2020-02-02,Athens,8.0,7,0,13059
389,2020-02-02,South DeKalb,8.0,8,0,13089
390,2020-02-02,Gwinnett Tech,9.0,8,0,13135
391,2020-02-02,Gainesville,9.0,8,0,13139
392,2020-02-02,Warner Robins,9.0,9,0,13153
393,2020-02-02,Augusta,6.0,6,0,13245
